n_iter	R0	log10eta	llh
0.0	1.9	-6.799999999999999	-inf
0.0	1.9	-6.599999999999999	-inf
0.0	1.9	-6.399999999999999	-inf
0.0	1.9	-6.199999999999998	-inf
0.0	1.9	-5.999999999999998	-inf
0.0	1.9	-5.799999999999998	-inf
0.0	1.9	-5.599999999999998	-inf
0.0	1.9	-5.399999999999998	-inf
0.0	1.9	-5.1999999999999975	-inf
0.0	1.9	-4.999999999999997	-inf
0.0	1.9	-4.799999999999997	-inf
0.0	1.9	-4.599999999999997	-inf
0.0	1.9	-4.399999999999997	-inf
0.0	1.9	-4.199999999999997	-inf
0.0	1.9	-3.9999999999999964	-inf
0.0	1.9	-3.7999999999999963	-inf
0.0	1.9	-3.599999999999996	-inf
0.0	1.9	-3.399999999999996	-inf
0.0	1.9	-3.1999999999999957	-inf
0.0	1.9	-2.9999999999999956	-inf
0.0	1.9	-2.7999999999999954	-inf
0.0	1.9	-2.599999999999995	-inf
0.0	1.9	-2.399999999999995	-inf
0.0	1.9	-2.199999999999995	-inf
0.0	1.9	-1.9999999999999947	-inf
0.0	2.0999999999999996	-8.0	-inf
0.0	2.0999999999999996	-7.8	-inf
0.0	2.0999999999999996	-7.6	-inf
0.0	2.0999999999999996	-7.3999999999999995	-inf
0.0	2.0999999999999996	-7.199999999999999	-inf
0.0	2.0999999999999996	-6.999999999999999	-inf
0.0	2.0999999999999996	-6.799999999999999	-inf
0.0	2.0999999999999996	-6.599999999999999	-inf
0.0	2.0999999999999996	-6.399999999999999	-inf
0.0	2.0999999999999996	-6.199999999999998	-inf
0.0	2.0999999999999996	-5.999999999999998	-inf
0.0	2.0999999999999996	-5.799999999999998	-inf
0.0	2.0999999999999996	-5.599999999999998	-inf
0.0	2.0999999999999996	-5.399999999999998	-inf
0.0	2.0999999999999996	-5.1999999999999975	-inf
0.0	2.0999999999999996	-4.999999999999997	-inf
0.0	2.0999999999999996	-4.799999999999997	-inf
0.0	2.0999999999999996	-4.599999999999997	-inf
0.0	2.0999999999999996	-4.399999999999997	-inf
0.0	2.0999999999999996	-4.199999999999997	-inf
0.0	2.0999999999999996	-3.9999999999999964	-inf
0.0	2.0999999999999996	-3.7999999999999963	-inf
0.0	2.0999999999999996	-3.599999999999996	-inf
0.0	2.0999999999999996	-3.399999999999996	-inf
0.0	2.0999999999999996	-3.1999999999999957	-inf
0.0	2.0999999999999996	-2.9999999999999956	-inf
0.0	2.0999999999999996	-2.7999999999999954	-inf
0.0	2.0999999999999996	-2.599999999999995	-inf
0.0	2.0999999999999996	-2.399999999999995	-inf
0.0	2.0999999999999996	-2.199999999999995	-inf
0.0	2.0999999999999996	-1.9999999999999947	-inf
0.0	2.3	-8.0	-inf
0.0	2.3	-7.8	-inf
0.0	2.3	-7.6	-inf
0.0	2.3	-7.3999999999999995	-inf
0.0	2.3	-7.199999999999999	-inf
0.0	2.3	-6.999999999999999	-inf
0.0	2.3	-6.799999999999999	-inf
0.0	2.3	-6.599999999999999	-inf
0.0	2.3	-6.399999999999999	-inf
0.0	2.3	-6.199999999999998	-inf
0.0	2.3	-5.999999999999998	-inf
0.0	2.3	-5.799999999999998	-inf
0.0	2.3	-5.599999999999998	-inf
0.0	2.3	-5.399999999999998	-inf
0.0	2.3	-5.1999999999999975	-inf
0.0	2.3	-4.999999999999997	-inf
0.0	2.3	-4.799999999999997	-inf
0.0	2.3	-4.599999999999997	-inf
0.0	2.3	-4.399999999999997	-inf
0.0	2.3	-4.199999999999997	-inf
0.0	2.3	-3.9999999999999964	-inf
0.0	2.3	-3.7999999999999963	-inf
0.0	2.3	-3.599999999999996	-inf
0.0	2.3	-3.399999999999996	-inf
0.0	2.3	-3.1999999999999957	-inf
0.0	2.3	-2.9999999999999956	-inf
0.0	2.3	-2.7999999999999954	-inf
0.0	2.3	-2.599999999999995	-inf
0.0	2.3	-2.399999999999995	-inf
0.0	2.3	-2.199999999999995	-inf
0.0	2.3	-1.9999999999999947	-inf
0.0	2.5	-8.0	-inf
0.0	2.5	-7.8	-inf
0.0	2.5	-7.6	-inf
0.0	2.5	-7.3999999999999995	-inf
0.0	2.5	-7.199999999999999	-inf
0.0	2.5	-6.999999999999999	-inf
0.0	2.5	-6.799999999999999	-inf
0.0	2.5	-6.599999999999999	-inf
0.0	2.5	-6.399999999999999	-inf
0.0	2.5	-6.199999999999998	-inf
0.0	2.5	-5.999999999999998	-inf
0.0	2.5	-5.799999999999998	-inf
0.0	2.5	-5.599999999999998	-inf
0.0	2.5	-5.399999999999998	-inf
0.0	2.5	-5.1999999999999975	-inf
0.0	2.5	-4.999999999999997	-inf
0.0	2.5	-4.799999999999997	-inf
0.0	2.5	-4.599999999999997	-inf
0.0	2.5	-4.399999999999997	-inf
0.0	2.5	-4.199999999999997	-inf
0.0	2.5	-3.9999999999999964	-inf
0.0	2.5	-3.7999999999999963	-inf
0.0	2.5	-3.599999999999996	-inf
0.0	2.5	-3.399999999999996	-inf
0.0	2.5	-3.1999999999999957	-inf
0.0	2.5	-2.9999999999999956	-inf
0.0	2.5	-2.7999999999999954	-inf
0.0	2.5	-2.599999999999995	-inf
0.0	2.5	-2.399999999999995	-inf
0.0	2.5	-2.199999999999995	-inf
0.0	2.5	-1.9999999999999947	-inf
0.0	2.6999999999999997	-8.0	-inf
0.0	2.6999999999999997	-7.8	-inf
0.0	2.6999999999999997	-7.6	-inf
0.0	2.6999999999999997	-7.3999999999999995	-inf
0.0	2.6999999999999997	-7.199999999999999	-inf
0.0	2.6999999999999997	-6.999999999999999	-inf
0.0	2.6999999999999997	-6.799999999999999	-inf
0.0	2.6999999999999997	-6.599999999999999	-inf
0.0	2.6999999999999997	-6.399999999999999	-inf
0.0	2.6999999999999997	-6.199999999999998	-inf
0.0	2.6999999999999997	-5.999999999999998	-inf
0.0	2.6999999999999997	-5.799999999999998	-inf
0.0	2.6999999999999997	-5.599999999999998	-inf
0.0	2.6999999999999997	-5.399999999999998	-inf
0.0	2.6999999999999997	-5.1999999999999975	-inf
0.0	2.6999999999999997	-4.999999999999997	-inf
0.0	2.6999999999999997	-4.799999999999997	-inf
0.0	2.6999999999999997	-4.599999999999997	-inf
0.0	2.6999999999999997	-4.399999999999997	-inf
0.0	2.6999999999999997	-4.199999999999997	-inf
0.0	2.6999999999999997	-3.9999999999999964	-inf
0.0	2.6999999999999997	-3.7999999999999963	-inf
0.0	2.6999999999999997	-3.599999999999996	-inf
0.0	2.6999999999999997	-3.399999999999996	-inf
0.0	2.6999999999999997	-3.1999999999999957	-inf
0.0	2.6999999999999997	-2.9999999999999956	-inf
0.0	2.6999999999999997	-2.7999999999999954	-inf
0.0	2.6999999999999997	-2.599999999999995	-inf
0.0	2.6999999999999997	-2.399999999999995	-inf
0.0	2.6999999999999997	-2.199999999999995	-inf
0.0	2.6999999999999997	-1.9999999999999947	-inf
0.0	2.8999999999999995	-8.0	-inf
0.0	2.8999999999999995	-7.8	-inf
0.0	2.8999999999999995	-7.6	-inf
0.0	2.8999999999999995	-7.3999999999999995	-inf
