R0	log10eta	mean_logL	sim_no
1.1	-1.9999999999999947	-93.58021190466926	10
1.2	-8.0		10
1.2	-7.8		10
1.2	-7.6		10
1.2	-7.3999999999999995		10
1.2	-7.199999999999999		10
1.2	-6.999999999999999		10
1.2	-6.799999999999999		10
1.2	-6.599999999999999		10
1.2	-6.399999999999999		10
1.2	-6.199999999999998		10
1.2	-5.999999999999998		10
1.2	-5.799999999999998	-69.18936124164203	10
1.2	-5.599999999999998		10
1.2	-5.399999999999998		10
1.2	-5.1999999999999975		10
1.2	-4.999999999999997	-62.93494053295889	10
1.2	-4.799999999999997	-64.00042438811917	10
1.2	-4.599999999999997	-65.0408255138856	10
1.2	-4.399999999999997	-61.992011564890525	10
1.2	-4.199999999999997	-59.500664867128684	10
1.2	-3.9999999999999964	-66.93609954952636	10
1.2	-3.7999999999999963	-65.00623176125164	10
1.2	-3.599999999999996	-67.90119695042233	10
1.2	-3.399999999999996	-69.50957398852	10
1.2	-3.1999999999999957	-74.10279513391525	10
1.2	-2.9999999999999956	-76.13976161655106	10
1.2	-2.7999999999999954	-79.6870046581397	10
1.2	-2.599999999999995	-80.70853998032706	10
1.2	-2.399999999999995	-80.82658624672256	10
1.2	-2.199999999999995	-83.32297419302833	10
1.2	-1.9999999999999947	-85.31199553967511	10
1.3	-8.0		10
1.3	-7.8		10
1.3	-7.6		10
1.3	-7.3999999999999995		10
1.3	-7.199999999999999		10
1.3	-6.999999999999999		10
1.3	-6.799999999999999		10
1.3	-6.599999999999999		10
1.3	-6.399999999999999		10
1.3	-6.199999999999998		10
1.3	-5.999999999999998		10
1.3	-5.799999999999998		10
1.3	-5.599999999999998		10
1.3	-5.399999999999998	-56.43302919120786	10
1.3	-5.1999999999999975	-57.82098356435148	10
1.3	-4.999999999999997	-51.45041160338981	10
1.3	-4.799999999999997	-48.22501248472253	10
1.3	-4.599999999999997	-55.64074145086762	10
1.3	-4.399999999999997	-53.815001603929616	10
1.3	-4.199999999999997	-53.961421580504634	10
1.3	-3.9999999999999964	-53.94838921501376	10
1.3	-3.7999999999999963	-60.23865644116247	10
1.3	-3.599999999999996	-56.28688304440143	10
1.3	-3.399999999999996	-59.83856148958116	10
1.3	-3.1999999999999957	-65.25659705746224	10
1.3	-2.9999999999999956	-66.06731075134073	10
1.3	-2.7999999999999954	-69.51305069338977	10
1.3	-2.599999999999995	-71.88864048086786	10
1.3	-2.399999999999995	-74.6602966749139	10
1.3	-2.199999999999995	-75.48071556361467	10
1.3	-1.9999999999999947	-76.57114333912517	9
1.4	-8.0		10
1.4	-7.8		10
1.4	-7.6		10
1.4	-7.3999999999999995		10
1.4	-7.199999999999999		10
1.4	-6.999999999999999		10
1.4	-6.799999999999999		10
1.4	-6.599999999999999		10
1.4	-6.399999999999999		10
1.4	-6.199999999999998	-70.38391243047907	10
1.4	-5.999999999999998	-51.419142261712366	10
1.4	-5.799999999999998	-61.59930831561345	10
1.4	-5.599999999999998	-51.65485458353925	10
1.4	-5.399999999999998	-51.43564175031992	10
1.4	-5.1999999999999975	-46.73997619863778	10
1.4	-4.999999999999997	-56.09741806099849	10
1.4	-4.799999999999997	-48.88071430391376	10
1.4	-4.599999999999997	-47.37223533523736	10
1.4	-4.399999999999997	-50.96175264704202	10
1.4	-4.199999999999997	-48.10131499121009	10
1.4	-3.9999999999999964	-49.23668648690291	10
1.4	-3.7999999999999963	-46.820000016354314	10
1.4	-3.599999999999996	-53.2851837970225	10
1.4	-3.399999999999996	-53.21164745101531	10
1.4	-3.1999999999999957	-56.41410476218181	10
1.4	-2.9999999999999956	-57.3044486780477	10
1.4	-2.7999999999999954	-60.89110772724992	10
1.4	-2.599999999999995	-61.63518786004473	10
1.4	-2.399999999999995	-63.79106259298128	10
1.4	-2.199999999999995	-67.5744160311915	10
1.5	-8.0		9
1.5	-7.8		9
1.5	-7.6		9
1.5	-7.3999999999999995		9
1.5	-7.199999999999999		9
1.5	-6.999999999999999		9
1.5	-6.799999999999999		9
1.5	-6.599999999999999		9
1.5	-6.399999999999999		9
1.5	-6.199999999999998	-49.822390203359305	9
1.5	-5.999999999999998		9
1.5	-5.799999999999998	-51.641654624242996	9
1.5	-5.599999999999998	-50.86123465262195	9
1.5	-5.399999999999998	-48.42561290565331	9
1.5	-5.1999999999999975	-43.85256938145963	9
1.5	-4.999999999999997	-46.57722620627255	9
1.5	-4.799999999999997	-38.557505372165004	9
1.5	-4.599999999999997	-43.768517472455265	9
1.5	-4.399999999999997	-43.96512671591237	9
1.5	-4.199999999999997	-41.49577524813039	9
1.5	-3.9999999999999964	-44.658263987636595	9
1.5	-3.7999999999999963	-45.775520482650414	9
1.5	-3.599999999999996	-45.22789087522747	9
1.5	-3.399999999999996	-49.05114542477445	9
1.5	-3.1999999999999957	-49.13091302053073	9
1.5	-2.9999999999999956	-52.8184153135493	9
1.5	-2.7999999999999954	-53.54430445777323	9
1.5	-2.599999999999995	-54.9089066062087	9
1.5	-2.399999999999995	-57.34386520601053	9
1.5	-2.199999999999995	-57.921867701373216	9
