n_iter	R0	timestart	llh
0.0	1.7	2.0	-79.0763316072449
0.0	1.7	0.0	-78.1426293131304
0.0	1.7	-2.0	-78.04734531996539
0.0	1.7	-4.0	-77.7288623206521
0.0	1.7	-6.0	-78.83459155321859
0.0	1.7	-8.0	-79.27426936740352
0.0	1.7	-10.0	-79.94620304365002
0.0	1.7	-12.0	-79.74759481070596
0.0	1.7	-14.0	-85.06717407059712
0.0	1.7	-16.0	-84.30044869871031
0.0	1.7	-18.0	-83.86177998638169
0.0	1.7	-20.0	-79.53223114919436
0.0	1.7	-22.0	-79.78461077110242
0.0	1.7	-24.0	-93.65443140661385
0.0	1.7	-26.0	-95.06239760552616
0.0	1.7	-28.0	-84.99965070379073
0.0	1.7	-30.0	-106.18542423173679
0.0	1.7	-32.0	-80.04362771979157
0.0	1.7	-34.0	-97.38885360254794
0.0	1.7	-36.0	-97.11720289118135
0.0	1.7	-38.0	-79.84627795554285
0.0	1.7	-40.0	-99.53640649797136
0.0	1.7	-42.0	-112.73339362832624
0.0	1.7	-44.0	-inf
0.0	1.7	-46.0	-inf
0.0	1.7	-48.0	-inf
0.0	1.7	-50.0	-inf
0.0	1.9	30.0	-79.82320103558936
0.0	1.9	28.0	-79.05935588920597
0.0	1.9	26.0	-79.02616478732823
0.0	1.9	24.0	-79.12246768784225
0.0	1.9	22.0	-78.12790912029237
0.0	1.9	20.0	-78.07200196988033
0.0	1.9	18.0	-79.2849699081059
0.0	1.9	16.0	-78.02074632459498
0.0	1.9	14.0	-78.86264902668538
0.0	1.9	12.0	-79.49168241692247
0.0	1.9	10.0	-79.01364386868289
0.0	1.9	8.0	-79.79405281632347
0.0	1.9	6.0	-78.7066950081922
0.0	1.9	4.0	-80.93141272125506
0.0	1.9	2.0	-81.1154823957651
0.0	1.9	0.0	-81.2612040935058
0.0	1.9	-2.0	-82.05345505730095
0.0	1.9	-4.0	-82.44912988517073
0.0	1.9	-6.0	-90.63818395061872
0.0	1.9	-8.0	-85.71185449073019
0.0	1.9	-10.0	-81.694128283487
0.0	1.9	-12.0	-83.8925974593905
0.0	1.9	-14.0	-93.18399303826718
0.0	1.9	-16.0	-80.92675929564253
0.0	1.9	-18.0	-96.13877068876307
