R0	timestart	mean_logL	sim_no
1.3	30.0	-133.89040679506195	20
1.3	32.0	-141.87299994724754	20
1.3	34.0	-137.32239186672777	20
1.3	36.0		20
1.4	-50.0	-88.94512554516812	20
1.4	-48.0	-82.55472920322178	20
1.4	-46.0	-83.06532126813387	20
1.4	-44.0	-84.06034866799675	20
1.4	-42.0	-81.49251598763124	20
1.4	-40.0	-80.83116765010648	20
1.4	-38.0	-81.14569314609177	20
1.4	-36.0	-79.86860803561783	20
1.4	-34.0	-80.45749998591143	20
1.4	-32.0	-79.99407339998321	20
1.4	-30.0	-80.45233678858426	20
1.4	-28.0	-80.13918775011891	20
1.4	-26.0	-79.37184414143859	20
1.4	-24.0	-79.44181574069431	20
1.4	-22.0	-79.55552002565962	20
1.4	-20.0	-79.07320039730783	20
1.4	-18.0	-78.9592522568113	20
1.4	-16.0	-78.91416791651118	20
1.4	-14.0	-78.85615131822712	20
1.4	-12.0	-78.83059885860906	20
1.4	-10.0	-78.75038525217386	20
1.4	-8.0	-78.58095299252872	20
1.4	-6.0	-78.822280080389	20
1.4	-4.0	-78.68082384730133	20
1.4	-2.0	-79.09660256437375	20
1.4	0.0	-78.973823388262	20
1.4	2.0	-78.66124132942872	20
1.4	4.0	-79.43650917862485	20
1.4	6.0	-79.3290205443694	20
1.4	8.0	-79.96125975860888	20
1.4	10.0	-80.8193432569777	20
1.4	12.0	-80.97950327792262	20
1.4	14.0	-82.3658632802804	20
1.4	16.0	-83.51961707987824	20
1.4	18.0	-86.12541504499586	20
1.4	20.0	-85.72519861031819	20
1.4	22.0	-88.7855613063654	20
1.4	24.0	-91.11792328715352	20
1.4	26.0	-95.3403104782825	20
1.4	28.0	-103.26974077190759	20
1.4	30.0	-104.04356194839932	20
1.4	32.0	-113.7498577349575	20
1.4	34.0	-126.41837196059961	20
1.4	36.0		20
1.5	-50.0	-98.94270880074505	20
1.5	-48.0	-93.4301941540671	20
1.5	-46.0	-96.74316136113434	20
1.5	-44.0	-87.41014267268619	20
1.5	-42.0	-84.53953094870329	20
1.5	-40.0	-86.99319087564344	20
1.5	-38.0	-87.8790666075612	20
1.5	-36.0	-87.3165115561648	20
1.5	-34.0	-83.33845322236563	20
1.5	-32.0	-81.70331305135494	20
1.5	-30.0	-80.7962682511173	20
1.5	-28.0	-80.40581720865691	20
1.5	-26.0	-80.46845743050794	20
1.5	-24.0	-80.02971435619381	20
1.5	-22.0	-80.02967023494149	20
1.5	-20.0	-79.75940394713247	20
1.5	-18.0	-79.4442683371852	20
1.5	-16.0	-78.99672821451372	20
1.5	-14.0	-78.54783074176063	20
1.5	-12.0	-78.52072859394225	20
1.5	-10.0	-78.49996630436047	20
1.5	-8.0	-78.32488440544299	20
1.5	-6.0	-78.23670942373478	20
1.5	-4.0	-78.01490298249972	20
1.5	-2.0	-77.83398653013849	20
1.5	0.0	-77.90966827711185	20
1.5	2.0	-77.88944616878545	20
1.5	4.0	-78.08738542767459	20
1.5	6.0	-77.6737459923285	20
1.5	8.0	-78.16873110962639	20
1.5	10.0	-78.14836404345317	20
1.5	12.0	-78.60349215839204	20
1.5	14.0	-78.8214719504179	20
1.5	16.0	-79.36274471725255	20
1.5	18.0	-79.96901577562055	20
1.5	20.0	-81.22846251293458	20
1.5	22.0	-81.30209824085975	20
1.5	24.0	-82.58130042790009	20
1.5	26.0	-86.2963722976373	20
1.5	28.0	-88.676351068607	20
1.5	30.0	-92.39459436769253	20
1.5	32.0	-100.7931887363335	20
1.5	34.0	-99.76645265829009	20
1.5	36.0		20
1.6	-50.0	-107.40862638771281	20
1.6	-48.0	-inf	20
1.6	-46.0		20
1.6	-44.0		20
1.6	-42.0	-101.68886691666236	20
1.6	-40.0	-93.59608630589182	20
1.6	-38.0	-91.66892768526745	20
1.6	-36.0	-91.24475844546879	20
1.6	-34.0	-87.75563638353323	20
1.6	-32.0	-88.3328963094431	20
1.6	-30.0	-85.41237599522509	20
1.6	-28.0	-84.31613282410208	20
1.6	-26.0	-84.19330426672585	20
1.6	-24.0	-81.45939396095476	20
1.6	-22.0	-81.95315039948711	20
1.6	-20.0	-80.26857479925745	20
1.6	-18.0	-80.26927427914187	20
1.6	-16.0	-79.29294048392202	20
1.6	-14.0	-79.78037401083306	20
1.6	-12.0	-79.18333243617367	20
1.6	-10.0	-78.79120406780962	20
1.6	-8.0	-78.25251997246149	20
1.6	-6.0	-78.29504188334356	20
1.6	-4.0	-77.83558597861665	20
1.6	-2.0	-77.97075120472712	20
1.6	0.0	-77.59707792143334	20
1.6	2.0	-77.77313861015425	20
1.6	4.0	-77.63243119490728	20
1.6	6.0	-77.47983643332252	20
