n_iter	R0	timestart	llh
0.0	2.0999999999999996	-14.0	-inf
0.0	2.0999999999999996	-16.0	-inf
0.0	2.0999999999999996	-18.0	-inf
0.0	2.0999999999999996	-20.0	-inf
0.0	2.0999999999999996	-22.0	-inf
0.0	2.0999999999999996	-24.0	-inf
0.0	2.0999999999999996	-26.0	-inf
0.0	2.0999999999999996	-28.0	-inf
0.0	2.0999999999999996	-30.0	-inf
0.0	2.0999999999999996	-32.0	-inf
0.0	2.0999999999999996	-34.0	-inf
0.0	2.0999999999999996	-36.0	-113.80405648592735
0.0	2.0999999999999996	-38.0	-inf
0.0	2.0999999999999996	-40.0	-inf
0.0	2.0999999999999996	-42.0	-inf
0.0	2.0999999999999996	-44.0	-inf
0.0	2.0999999999999996	-46.0	-inf
0.0	2.0999999999999996	-48.0	-inf
0.0	2.0999999999999996	-50.0	-inf
0.0	2.3	30.0	-88.75069967975003
0.0	2.3	28.0	-90.2652700003759
0.0	2.3	26.0	-91.27950477621047
0.0	2.3	24.0	-85.79898854665645
0.0	2.3	22.0	-97.36029964679469
0.0	2.3	20.0	-inf
0.0	2.3	18.0	-94.09273083908606
0.0	2.3	16.0	-89.0112675787751
0.0	2.3	14.0	-inf
0.0	2.3	12.0	-106.78338967397615
0.0	2.3	10.0	-108.26700272280004
0.0	2.3	8.0	-98.9648231737519
0.0	2.3	6.0	-inf
0.0	2.3	4.0	-98.65332676516967
0.0	2.3	2.0	-inf
0.0	2.3	0.0	-139.38482124119156
0.0	2.3	-2.0	-inf
0.0	2.3	-4.0	-inf
0.0	2.3	-6.0	-inf
0.0	2.3	-8.0	-inf
0.0	2.3	-10.0	-inf
0.0	2.3	-12.0	-inf
0.0	2.3	-14.0	-inf
0.0	2.3	-16.0	-inf
0.0	2.3	-18.0	-inf
0.0	2.3	-20.0	-inf
0.0	2.3	-22.0	-inf
0.0	2.3	-24.0	-inf
0.0	2.3	-26.0	-inf
0.0	2.3	-28.0	-inf
0.0	2.3	-30.0	-inf
0.0	2.3	-32.0	-inf
0.0	2.3	-34.0	-inf
0.0	2.3	-36.0	-inf
0.0	2.3	-38.0	-inf
0.0	2.3	-40.0	-inf
0.0	2.3	-42.0	-inf
0.0	2.3	-44.0	-inf
0.0	2.3	-46.0	-inf
0.0	2.3	-48.0	-inf
0.0	2.3	-50.0	-inf
0.0	2.5	30.0	-106.23467831357368
0.0	2.5	28.0	-inf
0.0	2.5	26.0	-inf
0.0	2.5	24.0	-112.50127004446102
0.0	2.5	22.0	-inf
0.0	2.5	20.0	-inf
