timestart	R0	mean_logL	sim_no
737793.0	2.4	-33.459968930918805	10
737793.0	2.5	-33.57086212332742	10
737793.0	2.6	-30.85599464730052	10
737793.0	2.7	-33.51495306428827	10
737793.0	2.8	-34.59435818358902	10
737793.0	2.9	-40.80337186090533	10
737793.0	3.0	-40.82878105256278	10
737793.0	3.1	-59.85096245654809	10
737793.0	3.2	-63.34446345377937	10
737793.0	3.3	-70.74542873517228	10
737793.0	3.4	-58.14959518644125	10
737793.0	3.5	-47.88356176971087	9
737793.0	3.6	-43.14103715443657	9
737793.0	3.7	-88.15844298696635	9
737793.0	3.8	-53.68273244048248	8
737793.0	3.9	-89.10229721436362	6
737793.0	4.0	-42.365890845789494	2
737793.0	4.1	-118.90669558189582	2
737793.0	4.2	-36.284712725524074	2
737796.0	1.0		10
737796.0	1.1	-46.89659587501221	10
737796.0	1.2	-42.570251989035285	10
737796.0	1.3	-39.715004194077245	10
737796.0	1.4	-34.80189665516194	10
737796.0	1.5	-33.575335946773905	10
737796.0	1.6	-32.217329310751026	10
737796.0	1.7	-31.32223593598126	10
737796.0	1.8	-31.343646542060934	10
737796.0	1.9	-30.981754509143165	10
737796.0	2.0	-30.699790292895806	10
737796.0	2.1	-30.809111074859253	10
737796.0	2.2	-31.061187671938125	10
737796.0	2.3	-31.46860379407345	10
737796.0	2.4	-34.28290254450878	10
737796.0	2.5	-32.362356510758154	10
737796.0	2.6	-33.02610630938095	10
737796.0	2.7	-43.23100900449001	10
737796.0	2.8	-36.66070900814266	10
737796.0	2.9	-35.47090913894648	10
737796.0	3.0	-37.72102987352961	10
737796.0	3.1	-50.92347945736793	10
737796.0	3.2	-44.00659202379765	10
737796.0	3.3	-57.17178875018643	10
737796.0	3.4	-51.85326725999456	10
737796.0	3.5	-49.31045643040838	10
737796.0	3.6	-58.18966721187773	10
737796.0	3.7	-71.31499141685866	10
737796.0	3.8	-40.9793774234596	10
737796.0	3.9	-74.47118682527173	9
737796.0	4.0	-89.32580993558263	5
737796.0	4.1	-78.19610458261292	4
737796.0	4.2	-63.00709069898996	4
737796.0	4.3	-130.8716673259124	3
737796.0	4.4	-187.95593863002594	2
737796.0	4.5	-136.89156953723113	2
737799.0	1.0		10
737799.0	1.1	-50.848613484361486	10
737799.0	1.2	-42.03960919458298	10
737799.0	1.3	-37.11468325816614	10
737799.0	1.4	-35.849700367758615	10
737799.0	1.5	-32.981195729796035	10
737799.0	1.6	-31.813522287374468	10
737799.0	1.7	-31.070735233141335	10
737799.0	1.8	-31.225057281979595	10
737799.0	1.9	-30.789528802592866	10
737799.0	2.0	-30.72511615632419	10
737799.0	2.1	-30.37964592080836	10
737799.0	2.2	-31.12225546885203	10
737799.0	2.3	-30.306604014593063	10
737799.0	2.4	-32.922631655036575	10
737799.0	2.5	-31.139279872001786	10
737799.0	2.6	-31.279484302671353	10
737799.0	2.7	-32.49531622809247	10
737799.0	2.8	-32.913454001920584	10
737799.0	2.9	-40.35365782137387	10
737799.0	3.0	-36.383519841227596	10
737799.0	3.1	-38.972448817602846	10
737799.0	3.2	-36.39967557944043	10
737799.0	3.3	-53.31696406219876	10
737799.0	3.4	-76.9840738624545	10
737799.0	3.5	-40.786730276639204	10
737799.0	3.6	-38.26051025242131	10
737799.0	3.7	-65.93827278218922	10
737799.0	3.8	-48.687948890379715	10
737799.0	3.9	-51.95710362832368	10
737799.0	4.0	-59.51911065218057	7
737799.0	4.1	-80.63649264091751	7
737799.0	4.2	-59.66136983400446	7
737799.0	4.3	-70.91508006195004	7
737799.0	4.4	-66.18245260088524	6
737799.0	4.5	-57.80005922266662	5
737802.0	1.0		10
737802.0	1.1	-53.18283549880861	10
737802.0	1.2	-45.4334909133708	10
737802.0	1.3	-39.927653085187195	10
737802.0	1.4	-34.593379154867755	10
737802.0	1.5	-33.15279401687995	10
737802.0	1.6	-31.593299978120722	10
737802.0	1.7	-31.133422291362372	10
737802.0	1.8	-30.798353454494496	10
737802.0	1.9	-30.473287607045155	10
737802.0	2.0	-30.399143779338317	10
737802.0	2.1	-30.497606748737542	10
737802.0	2.2	-30.17540179540132	10
737802.0	2.3	-30.932746703672954	10
737802.0	2.4	-30.99096253381267	10
737802.0	2.5	-31.05492218445652	10
737802.0	2.6	-30.65100660479856	10
737802.0	2.7	-31.767956532827007	10
737802.0	2.8	-36.123166275433704	10
737802.0	2.9	-32.24961322250756	10
737802.0	3.0	-34.351242792249515	10
737802.0	3.1	-34.897032823227605	10
737802.0	3.2	-48.56356618465094	10
737802.0	3.3	-38.77115003277855	10
737802.0	3.4	-35.67734708611131	10
737802.0	3.5	-52.40870394074874	10
737802.0	3.6	-37.87602412445761	10
737802.0	3.7	-40.94778701869358	10
737802.0	3.8	-60.58408447727072	10
737802.0	3.9	-40.62045472504575	10
737802.0	4.0	-83.88364502150134	10
737802.0	4.1	-64.1158452217947	10
737802.0	4.2	-48.636939563323985	10
737802.0	4.3	-57.491501730886725	10
737802.0	4.4	-64.17856839362734	9
737802.0	4.5	-65.62446190471789	7
737805.0	1.0		10
737805.0	1.1	-55.47080437972911	10
737805.0	1.2	-45.80837452953109	10
737805.0	1.3	-39.95132999361672	10
737805.0	1.4	-36.869624472302355	10
737805.0	1.5	-34.02281390790425	10
737805.0	1.6	-32.51237704216106	10
737805.0	1.7	-31.277033875343466	10
737805.0	1.8	-30.495169461311814	10
737805.0	1.9	-30.30865900590307	10
737805.0	2.0	-30.32021041585931	10
737805.0	2.1	-29.79178555795864	10
737805.0	2.2	-30.26364618121615	10
737805.0	2.3	-30.180327943686187	10
737805.0	2.4	-30.261682700273532	10
737805.0	2.5	-30.602638943703653	10
737805.0	2.6	-31.667106355762286	10
737805.0	2.7	-30.90224329869966	10
737805.0	2.8	-31.931216972999227	10
737805.0	2.9	-33.293585981755754	10
737805.0	3.0	-35.49171948252504	10
737805.0	3.1	-34.96253447103368	10
737805.0	3.2	-37.66977958451368	10
737805.0	3.3	-36.806576327893985	10
737805.0	3.4	-36.888324256174734	10
737805.0	3.5	-41.4210395011158	10
737805.0	3.6	-46.179764986844795	10
737805.0	3.7	-52.86963262464644	10
737805.0	3.8	-63.34812082289382	10
737805.0	3.9	-44.84159023500199	10
737805.0	4.0	-46.73887513438222	10
737805.0	4.1	-64.22745668305647	10
737805.0	4.2	-49.20000422458141	10
737805.0	4.3	-49.43190024101159	10
737805.0	4.4	-53.28980895042743	10
737805.0	4.5	-72.52818284588821	10
737808.0	1.0		10
737808.0	1.1	-58.72475017928163	10
737808.0	1.2	-46.18539176155511	10
737808.0	1.3	-39.96008282330153	10
737808.0	1.4	-35.489012988005186	10
737808.0	1.5	-33.60001696074738	10
737808.0	1.6	-33.07036734069247	10
737808.0	1.7	-30.84916943205306	10
737808.0	1.8	-30.340193450006673	10
737808.0	1.9	-30.1015590134349	10
737808.0	2.0	-29.72747561889934	10
737808.0	2.1	-29.67594548117622	10
737808.0	2.2	-30.09311200907637	10
737808.0	2.3	-29.942789237516518	10
737808.0	2.4	-29.830799495354523	10
737808.0	2.5	-29.952542782135332	10
737808.0	2.6	-30.294527859467962	10
737808.0	2.7	-30.62955433701969	10
737808.0	2.8	-31.39898992458536	10
737808.0	2.9	-32.12986813568165	10
737808.0	3.0	-33.695684429107025	10
737808.0	3.1	-34.54257403881324	10
737808.0	3.2	-34.387363134677656	10
737808.0	3.3	-36.01489449433146	10
737808.0	3.4	-34.803205908753164	10
737808.0	3.5	-37.83427837128703	10
737808.0	3.6	-37.18528427299208	10
737808.0	3.7	-43.719496475653514	10
737808.0	3.8	-38.87078770305952	10
737808.0	3.9	-49.994240582266876	10
737808.0	4.0	-51.19985857539144	10
737808.0	4.1	-66.76101609255318	10
737808.0	4.2	-46.825012977804946	10
737808.0	4.3	-51.85486993641181	10
737808.0	4.4	-68.97906646031132	10
737808.0	4.5	-63.33199216471123	10
737811.0	1.0		10
737811.0	1.1	-62.971128574995284	10
737811.0	1.2	-46.48653164675763	10
737811.0	1.3	-42.41430262293498	10
737811.0	1.4	-37.566005152147994	10
737811.0	1.5	-33.98125460213936	10
737811.0	1.6	-33.55485903557624	10
737811.0	1.7	-31.445575763849206	10
737811.0	1.8	-30.79641749435366	10
737811.0	1.9	-30.001866714969726	10
737811.0	2.0	-30.012141673480073	10
737811.0	2.1	-29.526109351594158	10
737811.0	2.2	-29.551915362520845	10
737811.0	2.3	-29.833412288646905	10
737811.0	2.4	-29.99370685850161	10
737811.0	2.5	-29.750628659929912	10
737811.0	2.6	-30.302248208371786	10
737811.0	2.7	-30.086072919274677	10
737811.0	2.8	-30.886148067794785	10
737811.0	2.9	-31.518878857297686	10
737811.0	3.0	-31.668496846879247	10
737811.0	3.1	-36.19329267351202	10
737811.0	3.2	-35.15347078733178	10
737811.0	3.3	-32.6041518979785	10
737811.0	3.4	-37.22539434539094	10
737811.0	3.5	-35.59851387757253	10
737811.0	3.6	-35.39666797596596	10
737811.0	3.7	-34.7988379779355	10
737811.0	3.8	-35.64334889823657	10
737811.0	3.9	-36.359655220088406	10
737811.0	4.0	-42.23912801875744	10
737811.0	4.1	-39.38726951456407	10
737811.0	4.2	-43.169488389878744	10
737811.0	4.3	-44.32597819777933	10
737811.0	4.4	-53.573527943055204	10
737811.0	4.5	-58.956118927456735	10
737814.0	1.0		10
737814.0	1.1		10
737814.0	1.2	-50.7069428908696	10
737814.0	1.3	-47.41504187753151	10
737814.0	1.4	-38.00470397932294	10
737814.0	1.5	-35.43339787960385	10
737814.0	1.6	-33.190572394692296	10
737814.0	1.7	-32.03010696499837	10
737814.0	1.8	-30.614760976271054	10
737814.0	1.9	-30.31430890659368	10
737814.0	2.0	-29.597750663020967	10
737814.0	2.1	-29.302317339900128	10
737814.0	2.2	-29.334628673838456	10
737814.0	2.3	-29.465132722681155	10
737814.0	2.4	-29.20426846602039	10
737814.0	2.5	-29.22550848532388	10
737814.0	2.6	-30.325697846898436	10
737814.0	2.7	-29.785988824422326	10
737814.0	2.8	-29.93429096073237	10
737814.0	2.9	-30.953268614416505	10
737814.0	3.0	-30.600120227051356	10
737814.0	3.1	-31.03749934309323	10
737814.0	3.2	-31.182239590054433	10
737814.0	3.3	-31.487262637797993	10
737814.0	3.4	-32.307287904996926	10
737814.0	3.5	-33.30512016744985	10
