n_iter	log10eta	R0	llh
0.0	-6.999999999999999	2.5	-39.11889207083411
0.0	-6.999999999999999	2.6	-inf
0.0	-6.999999999999999	2.7	-39.707523024047795
0.0	-6.999999999999999	2.8000000000000003	-inf
0.0	-6.999999999999999	2.9000000000000004	-inf
0.0	-6.999999999999999	3.0000000000000004	-64.33459273273908
0.0	-6.999999999999999	3.1000000000000005	-inf
0.0	-6.999999999999999	3.2000000000000006	-inf
0.0	-6.999999999999999	3.3000000000000007	-32.93108377532547
0.0	-6.999999999999999	3.400000000000001	-40.51381707717296
0.0	-6.999999999999999	3.500000000000001	-33.33774912365304
0.0	-6.999999999999999	3.600000000000001	-35.38929745726965
0.0	-6.999999999999999	3.700000000000001	-36.64452801122922
0.0	-6.999999999999999	3.800000000000001	-32.35580962750479
0.0	-6.999999999999999	3.9000000000000012	-31.01273280723133
0.0	-6.999999999999999	4.000000000000002	-inf
0.0	-6.799999999999999	2.5	-inf
0.0	-6.799999999999999	2.6	-inf
0.0	-6.799999999999999	2.7	-30.248918633678535
0.0	-6.799999999999999	2.8000000000000003	-43.904400280750664
0.0	-6.799999999999999	2.9000000000000004	-39.02249134567137
0.0	-6.799999999999999	3.0000000000000004	-55.03393774458942
0.0	-6.799999999999999	3.1000000000000005	-50.7894162336482
0.0	-6.799999999999999	3.2000000000000006	-32.19234270977795
0.0	-6.799999999999999	3.3000000000000007	-34.60601409001826
0.0	-6.799999999999999	3.400000000000001	-39.19792467841528
0.0	-6.799999999999999	3.500000000000001	-30.828654555684587
0.0	-6.799999999999999	3.600000000000001	-34.95869809851018
0.0	-6.799999999999999	3.700000000000001	-inf
0.0	-6.799999999999999	3.800000000000001	-30.60394358375464
0.0	-6.799999999999999	3.9000000000000012	-30.19464019231354
0.0	-6.799999999999999	4.000000000000002	-34.11022910680441
0.0	-6.599999999999999	2.5	-33.24895806138979
0.0	-6.599999999999999	2.6	-38.95592327264906
0.0	-6.599999999999999	2.7	-36.886748220335086
0.0	-6.599999999999999	2.8000000000000003	-41.53104642883133
0.0	-6.599999999999999	2.9000000000000004	-30.949447957020173
0.0	-6.599999999999999	3.0000000000000004	-30.944430604156807
0.0	-6.599999999999999	3.1000000000000005	-inf
0.0	-6.599999999999999	3.2000000000000006	-39.545788067360476
0.0	-6.599999999999999	3.3000000000000007	-38.6529879195818
