log10eta	R0	mean_logL	sim_no
-5.999999999999998	2.2	-32.5562487133083	10
-5.999999999999998	2.3	-32.403871367123465	10
-5.999999999999998	2.4	-31.84120373247701	10
-5.999999999999998	2.5	-30.168730888047072	10
-5.999999999999998	2.6	-30.015191512276353	10
-5.999999999999998	2.7	-30.641812567639498	10
-5.999999999999998	2.8	-30.574438375932242	10
-5.999999999999998	2.9	-30.34613176636463	10
-5.999999999999998	3.0	-30.22565219387443	10
-5.999999999999998	3.1	-30.119209189049776	10
-5.999999999999998	3.2	-30.106192541512137	10
-5.999999999999998	3.3	-30.03247191827078	10
-5.999999999999998	3.4	-30.536166642055047	10
-5.999999999999998	3.5	-29.898433461078753	10
-5.999999999999998	3.6	-30.032731703099433	10
-5.999999999999998	3.7	-30.22524007020608	10
-5.999999999999998	3.8	-30.875562009979767	10
-5.999999999999998	3.9	-30.80212806918857	10
-5.999999999999998	4.0	-31.18078491879826	10
-5.799999999999998	1.0		10
-5.799999999999998	1.1		10
-5.799999999999998	1.2		10
-5.799999999999998	1.3	-64.20785682190679	10
-5.799999999999998	1.4	-63.86661678177486	10
-5.799999999999998	1.5	-49.15665065388538	10
-5.799999999999998	1.6	-41.69947353489614	10
-5.799999999999998	1.7	-39.068137818009646	10
-5.799999999999998	1.8	-37.77979784186748	10
-5.799999999999998	1.9	-42.29698257202214	10
-5.799999999999998	2.0	-34.021793218525175	10
-5.799999999999998	2.1	-31.208963394083458	10
-5.799999999999998	2.2	-32.88110660919277	10
-5.799999999999998	2.3	-31.361926911550437	10
-5.799999999999998	2.4	-30.698580865143363	10
-5.799999999999998	2.5	-30.2095088769179	10
-5.799999999999998	2.6	-30.578426271676314	10
-5.799999999999998	2.7	-30.110007469306517	10
-5.799999999999998	2.8	-29.91436937844074	10
-5.799999999999998	2.9	-30.127334863085498	10
-5.799999999999998	3.0	-29.799118054813977	10
-5.799999999999998	3.1	-30.164146167846326	10
-5.799999999999998	3.2	-29.669085133725428	10
-5.799999999999998	3.3	-29.85663934749045	10
-5.799999999999998	3.4	-30.71534828709515	10
-5.799999999999998	3.5	-30.222820136831775	10
-5.799999999999998	3.6	-30.85120028972931	10
-5.799999999999998	3.7	-30.417202390485905	10
-5.799999999999998	3.8	-30.541162264921933	10
-5.799999999999998	3.9	-32.24765682951704	10
-5.799999999999998	4.0	-31.486625225229353	10
-5.599999999999998	1.0		10
-5.599999999999998	1.1		10
-5.599999999999998	1.2	-73.36780980535573	10
-5.599999999999998	1.3	-55.620745060676505	10
-5.599999999999998	1.4	-58.617009224383594	10
